target	id_target	neighbor	id_neighbor	cosine
loutre	17	crétin	14	-0.0002457555
grizzli	19	loutre	17	-0.0000152531
yak	18	loutre	17	-0.0001323290
crétin	14	loutre	17	-0.0002457555
loutre	17	yak	18	-0.0001323290
castor	15	crétin	14	0.0211068554
crétin	14	castor	15	0.0211068554
loutre	17	grizzli	19	-0.0000152531
loutre	17	poney	16	0.0004806767
poney	16	loutre	17	0.0004806767
castor	15	avion	0	0.0175649911
grizzli	19	yak	18	0.1143194892
crétin	14	avion	0	0.0004370001
poney	16	crétin	14	0.0136467869
loutre	17	castor	15	0.1098237297
castor	15	loutre	17	0.1098237297
avion	0	crétin	14	0.0004370001
yak	18	grizzli	19	0.1143194892
avion	0	castor	15	0.0175649911
yak	18	crétin	14	0.0075593029
crétin	14	licorne	13	0.0186785623
crétin	14	yak	18	0.0075593029
crétin	14	poney	16	0.0136467869
licorne	13	avion	0	0.0215893897
avion	0	licorne	13	0.0215893897
grizzli	19	crétin	14	0.0034753358
banane	12	avion	0	-0.0026968777
crétin	14	grizzli	19	0.0034753358
licorne	13	banane	12	0.0044339681
grizzli	19	poney	16	-0.0000428079
banane	12	licorne	13	0.0044339681
castor	15	licorne	13	0.0128849027
licorne	13	castor	15	0.0128849027
licorne	13	corpus	11	0.0060667131
licorne	13	crétin	14	0.0186785623
corpus	11	licorne	13	0.0060667131
yak	18	poney	16	-0.0003713826
castor	15	banane	12	0.0252111589
banane	12	castor	15	0.0252111589
poney	16	yak	18	-0.0003713826
licorne	13	arc-en-ciel	10	0.0035075257
poney	16	grizzli	19	-0.0000428079
arc-en-ciel	10	licorne	13	0.0035075257
yak	18	castor	15	0.0014788560
grizzli	19	castor	15	0.0137531845
castor	15	yak	18	0.0014788560
castor	15	corpus	11	0.0065771183
yak	18	avion	0	0.0052891880
crétin	14	banane	12	0.0133689152
licorne	13	nazi	9	0.0404052185
avion	0	banane	12	-0.0026968777
avion	0	yak	18	0.0052891880
nazi	9	licorne	13	0.0404052185
castor	15	grizzli	19	0.0137531845
yak	18	licorne	13	0.0012397924
licorne	13	yak	18	0.0012397924
corpus	11	castor	15	0.0065771183
grizzli	19	avion	0	0.0115910791
licorne	13	arabe	8	0.0112550063
arabe	8	licorne	13	0.0112550063
castor	15	arc-en-ciel	10	0.0033689437
avion	0	grizzli	19	0.0115910791
yak	18	banane	12	0.0262047864
licorne	13	grenouille	7	0.0047135284
